experience_coding,python_user,r_user,sql_user,most_used,compensation,category
6.1,False,False,True,Scikit-learn,124267.0,5-10 Years
12.3,False,True,True,Scikit-learn,236889.0,< 10-15 Years
2.2,False,False,False,,74321.0,< 5 Years
2.7,False,False,True,,62593.0,< 5 Years
1.2,False,False,False,Scikit-learn,36288.0,< 5 Years
1.0,False,False,False,PyTorch,61302.0,< 5 Years
1.8,False,False,False,,68984.0,< 5 Years
6.1,False,False,False,TensorFlow,18858.0,5-10 Years
4.5,False,False,True,Scikit-learn,55418.0,< 5 Years
1.1,False,False,True,TensorFlow,614.0,< 5 Years
2.7,False,True,True,,70564.0,< 5 Years
0.93,False,True,False,Scikit-learn,55525.0,< 5 Years
0.32,False,False,False,,61005.0,< 5 Years
9.9,False,False,True,Scikit-learn,2846.0,5-10 Years
0.78,False,False,False,TensorFlow,21.0,< 5 Years
13.5,False,False,False,Scikit-learn,14699.0,< 10-15 Years
26.5,False,False,True,Scikit-learn,2110.0, 25+ Years
1.5,False,False,True,Scikit-learn,620.0,< 5 Years
3.4,False,False,True,PyTorch,73527.0,< 5 Years
0.6,False,False,False,,6992.0,< 5 Years
0.95,False,False,False,,22311.0,< 5 Years
4.6,False,True,True,Scikit-learn,1377.0,< 5 Years
2.8,False,True,False,,69174.0,< 5 Years
28.2,False,False,True,Scikit-learn,117636.0, 25+ Years
1.4,False,True,True,TensorFlow,65937.0,< 5 Years
4.8,False,False,False,Scikit-learn,27856.0,< 5 Years
0.37,False,True,False,Scikit-learn,903.0,< 5 Years
4.5,False,False,False,TensorFlow,50501.0,< 5 Years
4.4,False,False,False,Scikit-learn,482.0,< 5 Years
0.69,False,False,False,,70407.0,< 5 Years
1.5,False,False,False,,8690.0,< 5 Years
9.6,False,True,True,,114648.0,5-10 Years
0.31,False,True,False,,73454.0,< 5 Years
3.5,False,False,False,,8075.0,< 5 Years
1.0,False,False,False,,59151.0,< 5 Years
0.2,False,True,True,,70112.0,< 5 Years
0.39,False,False,True,,70183.0,< 5 Years
5.0,False,False,False,,64502.0,5-10 Years
4.0,False,False,True,,2521.0,< 5 Years
0.47,False,False,False,Scikit-learn,63616.0,< 5 Years
8.1,False,False,True,Scikit-learn,59849.0,5-10 Years
1.8,False,False,False,,31516.0,< 5 Years
17.1,False,False,True,TensorFlow,18582.0,< 15-20 Years
1.4,False,False,False,Keras,4187.0,< 5 Years
1.3,False,False,False,,64405.0,< 5 Years
3.1,False,False,False,Keras,114807.0,< 5 Years
0.26,False,False,True,Scikit-learn,632.0,< 5 Years
2.1,False,True,False,Scikit-learn,61157.0,< 5 Years
4.4,False,False,True,Keras,1194.0,< 5 Years
5.2,False,True,False,Scikit-learn,28955.0,5-10 Years
0.7,False,True,True,TensorFlow,56553.0,< 5 Years
0.69,False,False,False,,75177.0,< 5 Years
1.3,False,True,True,,28009.0,< 5 Years
1.5,False,False,True,Scikit-learn,67074.0,< 5 Years
2.2,False,False,True,,50059.0,< 5 Years
6.3,False,False,False,TensorFlow,7624.0,5-10 Years
2.9,False,False,False,,74321.0,< 5 Years
1.2,False,True,False,,671.0,< 5 Years
1.5,False,False,True,TensorFlow,837.0,< 5 Years
1.8,False,False,True,Scikit-learn,2011.0,< 5 Years
0.91,False,False,False,Scikit-learn,62937.0,< 5 Years
4.5,False,False,False,,685.0,< 5 Years
1.6,False,False,True,Scikit-learn,41615.0,< 5 Years
0.27,False,False,False,,52572.0,< 5 Years
2.6,False,False,False,Scikit-learn,51856.0,< 5 Years
1.7,False,False,False,Keras,411.0,< 5 Years
0.74,False,False,False,,152.0,< 5 Years
2.7,False,False,False,TensorFlow,8181.0,< 5 Years
0.99,False,True,False,Keras,2708.0,< 5 Years
24.8,False,False,False,Scikit-learn,55041.0, 25+ Years
0.32,False,True,True,Scikit-learn,68412.0,< 5 Years
3.5,False,False,True,TensorFlow,6141.0,< 5 Years
5.7,False,False,True,,3979.0,5-10 Years
22.0,False,False,False,Keras,3760.0, 25+ Years
9.9,False,False,False,Keras,57465.0,5-10 Years
3.9,False,False,False,Keras,3864.0,< 5 Years
20.5,False,False,False,,488487.0, 25+ Years
0.81,False,False,False,Scikit-learn,24393.0,< 5 Years
9.8,False,False,False,TensorFlow,68624.0,5-10 Years
1.5,False,False,True,,70796.0,< 5 Years
12.3,False,True,True,Scikit-learn,236889.0,< 10-15 Years
6.6,False,False,True,PyTorch,57861.0,5-10 Years
2.1,False,False,False,,21055.0,< 5 Years
2.5,False,False,False,Keras,59167.0,< 5 Years
0.0,False,False,False,,55882.0,< 5 Years
1.7,False,False,False,,73802.0,< 5 Years
5.3,False,False,True,Scikit-learn,21206.0,5-10 Years
1.4,False,False,True,Scikit-learn,79803.0,< 5 Years
1.5,False,False,True,,73043.0,< 5 Years
28.2,False,False,True,PyTorch,268191.0, 25+ Years
0.97,False,False,True,Scikit-learn,14298.0,< 5 Years
1.1,False,False,True,Scikit-learn,68805.0,< 5 Years
7.0,False,False,False,TensorFlow,56003.0,5-10 Years
1.0,False,False,True,,73664.0,< 5 Years
0.71,False,False,True,Scikit-learn,434.0,< 5 Years
9.3,False,True,False,Keras,52109.0,5-10 Years
1.7,False,False,False,PyTorch,10284.0,< 5 Years
20.5,False,False,False,Keras,43906.0, 25+ Years
0.75,False,False,False,,67971.0,< 5 Years
0.98,False,False,True,,58465.0,< 5 Years
0.8,False,True,False,,64488.0,< 5 Years
1.3,False,False,False,,7709.0,< 5 Years
0.36,False,False,False,Keras,1957.0,< 5 Years
1.2,False,False,True,Scikit-learn,4131.0,< 5 Years
8.6,False,False,False,Scikit-learn,26022.0,5-10 Years
18.4,False,False,True,,29926.0,< 15-20 Years
2.7,False,False,True,,62593.0,< 5 Years
24.3,False,True,True,,109543.0, 25+ Years
0.94,False,False,True,,107644.0,< 5 Years
1.4,False,True,True,,1047.0,< 5 Years
3.3,False,False,False,,59909.0,< 5 Years
0.93,False,False,False,,68344.0,< 5 Years
2.3,False,False,False,TensorFlow,54427.0,< 5 Years
0.59,False,False,False,,70930.0,< 5 Years
1.2,False,False,False,,50835.0,< 5 Years
8.5,False,True,True,Keras,14151.0,5-10 Years
3.3,False,True,False,,11681.0,< 5 Years
21.1,False,False,True,,71808.0, 25+ Years
1.2,False,False,False,,70991.0,< 5 Years
12.2,False,True,True,Scikit-learn,31626.0,< 10-15 Years
3.8,False,False,False,TensorFlow,52416.0,< 5 Years
4.3,False,False,False,Keras,288146.0,< 5 Years
13.1,False,False,True,TensorFlow,65143.0,< 10-15 Years
24.3,False,False,False,PyTorch,34866.0, 25+ Years
1.6,False,True,False,Keras,186.0,< 5 Years
2.9,False,False,False,Scikit-learn,60065.0,< 5 Years
9.4,False,False,False,,40336.0,5-10 Years
7.7,False,False,False,Scikit-learn,115654.0,5-10 Years
0.3,False,False,True,,431.0,< 5 Years
9.0,False,True,False,TensorFlow,59814.0,5-10 Years
4.2,False,False,True,TensorFlow,45413.0,< 5 Years
1.9,False,False,False,,4196.0,< 5 Years
8.3,False,False,False,,55751.0,5-10 Years
0.21,False,False,False,Scikit-learn,61912.0,< 5 Years
